股票代码,东财行业,证监会行业
002935,国防与装备-航空航天装备-航天装备,制造业-计算机、通信和其他电子设备制造业
600389,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
836675,有色金属-金属非金属新材料-非金属新材料,制造业-非金属矿物制品业
600716,房地产-房地产开发-房地产开发,房地产业-房地产业
301507,医药生物-生物医药-生物医药,制造业-医药制造业
001222,轻工制造-文娱用品-娱乐用品,制造业-其他制造业
688520,医药生物-生物医药-生物医药,制造业-医药制造业
000661,医药生物-生物医药-生物医药,制造业-医药制造业
002570,食品饮料-食品-乳制品,制造业-食品制造业
603566,农林牧渔-畜牧业-动物用药,制造业-医药制造业
300949,休闲、生活及专业服务-专业服务-其他专业服务,科学研究和技术服务业-专业技术服务业
600731,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
300881,钢铁-钢铁-特钢,制造业-金属制品业
603102,医药生物-保健护理-保健护理产品,制造业-食品制造业
002461,食品饮料-饮料-啤酒,制造业-酒、饮料和精制茶制造业
301468,机械设备-专用设备-其他专用机械,制造业-专用设备制造业
837023,基础化工-化学制品-日用化学品,制造业-化学原料和化学制品制造业
600084,食品饮料-饮料-葡萄酒,制造业-酒、饮料和精制茶制造业
002580,电气设备-电源设备-储能设备,制造业-电气机械和器材制造业
600550,电气设备-输变电设备-其他输变电设备,制造业-电气机械和器材制造业
000716,食品饮料-食品-食品综合,制造业-食品制造业
688550,基础化工-化学制品-其他化学制品,制造业-化学原料和化学制品制造业
300366,信息技术-计算机软件-其他软件服务,信息传输、软件和信息技术服务业-软件和信息技术服务业
603021,建材-玻璃-玻璃,制造业-非金属矿物制品业
002365,医药生物-化学制药-化学原料药,制造业-医药制造业
002569,纺织服装-服装家纺-服装,制造业-纺织服装、服饰业
605599,轻工制造-珠宝首饰-珠宝首饰,批发和零售业-零售业
000790,医药生物-中药生产-中药生产,制造业-医药制造业
002383,信息技术-卫星应用-卫星应用,制造业-计算机、通信和其他电子设备制造业
603556,机械设备-通用设备-仪器仪表,制造业-仪器仪表制造业
688084,机械设备-机器人-工业机器人,制造业-专用设备制造业
600686,交运设备-汽车-商用车,制造业-汽车制造业
000972,农林牧渔-农业-农产品加工,制造业-农副食品加工业
301066,纺织服装-纺织-丝绸,制造业-纺织服装、服饰业
300301,电子设备-光电子器件-LED,制造业-计算机、通信和其他电子设备制造业
002496,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
300683,医药生物-生物医药-生物医药,制造业-医药制造业
000995,食品饮料-饮料-白酒,制造业-酒、饮料和精制茶制造业
002762,纺织服装-服装家纺-服装,制造业-纺织服装、服饰业
000553,基础化工-化肥农药-农药,制造业-化学原料和化学制品制造业
002878,文化传媒-营销服务-营销服务,租赁和商务服务业-商务服务业
688667,交运设备-汽车-汽车零部件,制造业-计算机、通信和其他电子设备制造业
002998,基础化工-合成纤维及树脂-涤纶,制造业-化学纤维制造业
688201,信息技术-计算机软件-其他软件服务,信息传输、软件和信息技术服务业-软件和信息技术服务业
300111,医药生物-生物医药-生物医药,制造业-医药制造业
603100,机械设备-通用设备-仪器仪表,制造业-仪器仪表制造业
301048,交运设备-铁路设备-铁路专用设备及器材,制造业-铁路、船舶、航空航天和其他运输设备制造业
300387,基础化工-化肥农药-复合肥,制造业-化学原料和化学制品制造业
300915,食品饮料-食品-食品综合,制造业-食品制造业
688510,国防与装备-航空航天装备-航空装备,制造业-铁路、船舶、航空航天和其他运输设备制造业
603861,电气设备-输变电设备-其他输变电设备,制造业-电气机械和器材制造业
300532,信息技术-计算机软件-其他软件服务,信息传输、软件和信息技术服务业-软件和信息技术服务业
